Name,Fueltype,Technology,Set,Country,Capacity,Efficiency,DateIn,DateRetrofit,DateOut,lat,lon,Duration,Volume_Mm3,DamHeight_m,StorageCapacity_MWh,EIC,projectID
Anhui Anqing (Huatai) power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2012,,,30.5526,117.2059,,,,,,GEM_biomass_58
Anhui Bozhou power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,33.7704,115.7386,,,,,,GEM_biomass_59
Anhui Changfeng power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2021,,,32.3995,117.2453,,,,,,GEM_biomass_60
Anhui Chaohu power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2018,,,31.7995,117.7628,,,,,,GEM_biomass_61
Anhui Dangshan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2011,,,34.4144,116.4146,,,,,,GEM_biomass_62
Anhui Dingyuan (Jinxuan) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,32.5828,117.2782,,,,,,GEM_biomass_63
Anhui Dingyuan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2016,,,32.3084,117.6105,,,,,,GEM_biomass_64
Anhui Feidong power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,31.7957,117.5671,,,,,,GEM_biomass_65
Anhui Feidong power station,Bioenergy,Steam Turbine,PP,CN,40.0,0.47,2021,,,31.7957,117.5671,,,,,,GEM_biomass_66
Anhui Fengtai power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2020,,,32.8997,116.4206,,,,,,GEM_biomass_67
Anhui Fengyang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2017,,,32.9194,117.6822,,,,,,GEM_biomass_68
Anhui Funan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2016,,,32.6468,115.6476,,,,,,GEM_biomass_69
Anhui Fuyang (Guozhen) power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2017,,,32.8684,115.8609,,,,,,GEM_biomass_70
Anhui Guoyang power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2019,,,33.445,116.1465,,,,,,GEM_biomass_71
Anhui Guzhen power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2010,,,33.2331,117.3372,,,,,,GEM_biomass_72
Anhui Hanshan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2014,,,31.5124,118.0854,,,,,,GEM_biomass_73
Anhui Huaiyuan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2016,,,32.9874,117.1134,,,,,,GEM_biomass_74
Anhui Huoqiu power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2013,,,32.3901,116.2721,,,,,,GEM_biomass_75
Anhui Huoshan power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2013,,,31.4277,116.3726,,,,,,GEM_biomass_76
Anhui Jinzhai power station,Bioenergy,Steam Turbine,PP,CN,30.0,0.47,2013,,,31.7549,115.9382,,,,,,GEM_biomass_77
