name,type,status,location,province,net_mw,gross_mw,grid_connection
SANAO-1,PWR,Operational,Wenzhou,Zhejiang,1117,1215,2026-03-12
TAIPINGLING-1,PWR,Operational,HUIZHOU,Guangdong,1116,1202,2026-02-13
ZHANGZHOU-2,PWR,Operational,ZHANGZHOU,Fujian,1126,1212,2025-11-22
ZHANGZHOU-1,PWR,Operational,ZHANGZHOU,Fujian,1126,1212,2024-11-28
FANGCHENGGANG-4,PWR,Operational,Fangchenggang,Guangxi,1000,1180,2024-04-09
FANGCHENGGANG-3,PWR,Operational,Fangchenggang,Guangxi,1000,1180,2023-01-10
HONGYANHE-6,PWR,Operational,DALIAN,Liaoning,1061,1119,2022-05-02
FUQING-6,PWR,Operational,Fuqing,Fujian,1075,1150,2022-01-01
SHIDAO BAY-1,HTGR,Operational,Weihai,Shandong,150,211,2021-12-14
HONGYANHE-5,PWR,Operational,DALIAN,Liaoning,1061,1119,2021-06-25
TIANWAN-6,PWR,Operational,Lianyungang,Jiangsu,1060,1118,2021-05-11
FUQING-5,PWR,Operational,Fuqing,Fujian,1075,1161,2020-11-27
TIANWAN-5,PWR,Operational,Lianyungang,Jiangsu,1060,1118,2020-08-08
YANGJIANG-6,PWR,Operational,Yangjiang,Guangdong,1000,1086,2019-06-29
TAISHAN-2,PWR,Operational,Taishan,Guangdong,1660,1750,2019-06-23
TIANWAN-4,PWR,Operational,Lianyungang,Jiangsu,1060,1126,2018-10-27
HAIYANG-2,PWR,Operational,Haiyang,Shandong,1170,1250,2018-10-13
SANMEN-2,PWR,Operational,Taizhou,Zhejiang,1157,1251,2018-08-24
HAIYANG-1,PWR,Operational,Haiyang,Shandong,1170,1250,2018-08-17
SANMEN-1,PWR,Operational,Taizhou,Zhejiang,1157,1251,2018-06-30
TAISHAN-1,PWR,Operational,Taishan,Guangdong,1660,1750,2018-06-29
YANGJIANG-5,PWR,Operational,Yangjiang,Guangdong,1000,1086,2018-05-23
TIANWAN-3,PWR,Operational,Lianyungang,Jiangsu,1060,1126,2017-12-30
FUQING-4,PWR,Operational,Fuqing,Fujian,1000,1089,2017-07-29
YANGJIANG-4,PWR,Operational,Yangjiang,Guangdong,1000,1086,2017-01-08
FUQING-3,PWR,Operational,Fuqing,Fujian,1000,1089,2016-09-07
FANGCHENGGANG-2,PWR,Operational,Fangchenggang,Guangxi,1000,1086,2016-07-15
CHANGJIANG-2,PWR,Operational,Changjiang,Hainan,601,650,2016-06-20
HONGYANHE-4,PWR,Operational,DALIAN,Liaoning,1061,1119,2016-04-01
NINGDE-4,PWR,Operational,Ningde,Fujian,1018,1089,2016-03-29
CHANGJIANG-1,PWR,Operational,Changjiang,Hainan,601,650,2015-11-07
FANGCHENGGANG-1,PWR,Operational,Fangchenggang,Guangxi,1000,1086,2015-10-25
YANGJIANG-3,PWR,Operational,Yangjiang,Guangdong,1000,1086,2015-10-18
FUQING-2,PWR,Operational,Fuqing,Fujian,1000,1089,2015-08-06
HONGYANHE-3,PWR,Operational,DALIAN,Liaoning,1061,1119,2015-03-23
NINGDE-3,PWR,Operational,Ningde,Fujian,1018,1089,2015-03-21
YANGJIANG-2,PWR,Operational,Yangjiang,Guangdong,1000,1086,2015-03-10
